Name,Min_CPU_CPU_Speed,Min_CPU_Turbo_Speed,Min_CPU_Physical_Cores,Min_CPU_Threads,Min_CPU_TDP,Min_CPU_Lithography,Min_CPU_Bit_Width,Min_CPU_Max_Temp,Min_CPU_Memory Channel,Min_CPU_Maximum Memory,Min_CPU_L1_Cache,Min_CPU_L2_Cache,Min_CPU_L3_Cache,Min_CPU_GD_Rating,Min_CPU_Release_Price,Recom_CPU_CPU_Speed,Recom_CPU_Turbo_Speed,Recom_CPU_Physical_Cores,Recom_CPU_Threads,Recom_CPU_TDP,Recom_CPU_Lithography,Recom_CPU_Bit_Width,Recom_CPU_Max_Temp,Recom_CPU_Memory Channel,Recom_CPU_Maximum Memory,Recom_CPU_L1_Cache,Recom_CPU_L2_Cache,Recom_CPU_L3_Cache,Recom_CPU_GD_Rating,Recom_CPU_Release_Price,Min_GPU_Process,Min_GPU_TMUs,Min_GPU_Texture_Rate,Min_GPU_ROPs,Min_GPU_Pixel_Rate,Min_GPU_Tensor_Cores,Min_GPU_Release_Price,Min_GPU_Direct_X,Min_GPU_Shader,Min_GPU_Open_GL,Min_GPU_Resolution,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Memory_Type,Min_GPU_Memory_Bandwidth,Min_GPU_DVI_Connection,Min_GPU_HDMI_Connection,Min_GPU_DisplayPort_Connection,Min_GPU_Boost_Clock,Min_GPU_PSU,Min_GPU_Power_Connector,Min_GPU_Best_RAM_Match,Min_GPU_Best_Resolution,Min_GPU_GD_RATING,Recom_GPU_Process,Recom_GPU_TMUs,Recom_GPU_Texture_Rate,Recom_GPU_ROPs,Recom_GPU_Pixel_Rate,Recom_GPU_Tensor_Cores,Recom_GPU_Release_Price,Recom_GPU_Direct_X,Recom_GPU_Shader,Recom_GPU_Open_GL,Recom_GPU_Resolution,Recom_GPU_Memory,Recom_GPU_Memory_Speed,Recom_GPU_Memory_Type,Recom_GPU_Memory_Bandwidth,Recom_GPU_DVI_Connection,Recom_GPU_HDMI_Connection,Recom_GPU_DisplayPort_Connection,Recom_GPU_Boost_Clock,Recom_GPU_PSU,Recom_GPU_Power_Connector,Recom_GPU_Best_RAM_Match,Recom_GPU_Best_Resolution,Recom_GPU_GD_RATING,Min_RAM,Recom_RAM,Min_VRAM,Recom_VRAM,Min_OS,Recom_OS,Min_Direct_X,Recom_Direct_X,Min_HDD_Space,Recom_HDD_Space,Release_Date
Zoo Tycoon 2: Zookeeper Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2006-10-17
Zoo Tycoon 2: Marine Mania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2006-10-17
Zoo Tycoon 2: Endangered Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2005-10-18
Zu Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2007-12-14
Adventure Quest Worlds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2008-06-02
Earth 2140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2013-11-15
Enigmatis: The Mists of Ravenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2013-10-26
Moorhuhn: Tiger And Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2013-09-27
Awesomenauts: Bumble Gnaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2012-09-19
Paper Monsters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2012-09-10
Zeus: Master of Olympus,1.1,0.0,1.0,0.0,42.0,180.0,16.0,0.0,0.0,0.0,64.0,256.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.25,2532864.0,48.0,183.0,0.0,1.4500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0MB,0,0,0,0,0,8,0,0MB,0,2000-10-22
Aliens versus Predator 2,1.1,0.0,1.0,0.0,42.0,180.0,16.0,0.0,0.0,0.0,64.0,256.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.75,3145728.0,128.0,133.0,1.0,1.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0MB,0,0,0,0,0,8,0,1 GB,0,2001-10-30
My Sims,1.83,0.0,1.0,0.0,67.5,155.0,32.0,0.0,0.0,0.0,68.0,384.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,3620864.0,256.0,325.0,1.0,5.2,1.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1 GB,0,0,0,0,0,9,0,1 GB,0,2008-10-31
Element4l,1.5,0.0,1.0,0.0,139.0,65.0,16.0,0.0,0.0,0.0,0.0,128.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.5,1.75,3145728.0,64.0,100.0,1.0,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1 GB,0,0,0,Windows XP 32-bit,0,9,9,0MB,0,2013-05-24
Paper Ball,1.85,0.0,2.0,2.0,65.0,65.0,64.0,66.5,0.0,0.0,192.0,1536.0,0.0,0.0,53.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.75,3145728.0,128.0,133.0,1.0,1.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0MB,0,0,0,Windows XP 32-bit,0,9,0,0MB,0,2012-03-09
Awesomenauts,1.7000000000000002,0.0,1.5,1.0,63.5,97.5,32.0,30.5,0.0,0.0,128.0,1152.0,0.0,0.0,53.0,2.4,0.0,2.0,2.0,65.0,90.0,64.0,72.0,0.0,0.0,256.0,1024.0,0.0,0.0,0.0,47.5,4.0,2.5,0.0,2.5,0.0,0.0,10.1,4.05,3.1500000000000004,2048000.0,256.0,200.0,2.0,3.2,0.5,0.5,0.0,0.0,150.0,0.0,1.5,240000.0,0.0,47.5,20.0,12.5,0.0,4.0,0.0,29.5,10.55,4.55,3.55,4096000.0,768.0,650.0,2.5,13.600000000000001,1.5,0.5,0.0,0.0,350.0,0.0,4.0,985344.0,0.0,1 GB,2 GB,0,0,Windows XP 32-bit,Windows XP 32-bit,9,9,2 GB,2 GB,2012-08-01
